Country/Region;US;Korea, South;China;Taiwan*;Thailand;Japan;Vietnam;Singapore;France;Nepal;Malaysia;Canada;Australia;Cambodia;Sri Lanka;Germany;Finland;United Arab Emirates;Philippines;India;Italy;Sweden;Russia;United Kingdom;Spain;Belgium;Egypt;Iran;Lebanon;Israel;Iraq;Oman;Afghanistan;Bahrain;Kuwait;Algeria;Croatia;Switzerland;Austria;Pakistan;Brazil;Georgia;Greece;North Macedonia;Norway;Romania;Estonia;San Marino;Denmark;Netherlands;Belarus;Iceland;Lithuania;Mexico;New Zealand;Nigeria;Ireland;Luxembourg;Monaco;Qatar;Ecuador;Azerbaijan;Armenia;Dominican Republic;Czechia;Indonesia;Portugal;Andorra;Latvia;Morocco;Saudi Arabia;Senegal;Argentina;Chile;Jordan;Ukraine;Hungary;Liechtenstein;Poland;Tunisia;Faroe Islands-Denmark;Saint Barthelemy-France;Gibraltar-United Kingdom;Bosnia and Herzegovina;Slovenia;South Africa;West Bank and Gaza;Bhutan;Cameroon;Colombia;Costa Rica;Peru;Serbia;Slovakia;Togo;Holy See;Malta;Martinique-France;French Guiana-France;Bulgaria;Maldives;Bangladesh;Paraguay;Moldova;Albania;Cyprus;Brunei;St Martin-France;Burkina Faso;Mongolia;Panama;Channel Islands-United Kingdom;Bolivia;Reunion-France;Honduras;Congo (Kinshasa);Cote d'Ivoire;Jamaica;Turkey;Cuba;Guyana;French Polynesia-France;Guadeloupe-France;Cayman Islands-United Kingdom;Kazakhstan;Ethiopia;Sudan;Guinea;Kenya;Antigua and Barbuda;Aruba-Netherlands;Uruguay;Ghana;Namibia;Seychelles;Trinidad and Tobago;Venezuela;Eswatini;Gabon;Guatemala;Mauritania;Rwanda;Saint Lucia;Saint Vincent and the Grenadines;Suriname;Curacao-Netherlands;Central African Republic;Congo (Brazzaville);Equatorial Guinea;Uzbekistan;Mayotte-France;Greenland-Denmark;Benin;Liberia;Somalia;Tanzania;Bahamas;Barbados;Montenegro;Gambia;Montserrat-United Kingdom;Kyrgyzstan;Mauritius;Zambia;Djibouti;New Caledonia-France;BermudaUnited Kingdom;Chad;El Salvador;Fiji;Nicaragua;Isle of Man-United Kingdom;Sint Maarten-Netherlands;Madagascar;Haiti;Angola;Cabo Verde;Niger;Papua New Guinea;Zimbabwe;Eritrea;Uganda;Dominica;Grenada;Mozambique;Syria;Timor-Leste;Belize;Laos;Libya;Guinea-Bissau;Mali;Saint Kitts and Nevis;Northwest Territories-Canada;Yukon-Canada;Kosovo;Burma;Anguilla-United Kingdom;British Virgin Islands-United Kingdom;Turks and Caicos Islands-United Kingdom;MS Zaandam;Botswana;Burundi;Sierra Leone;Bonaire, Sint Eustatius and Saba-Netherlands;Malawi;Falkland Islands (Islas Malvinas)-United Kingdom
1;1;1;548;1;2;2;2;1;2;1;3;1;4;1;1;1;1;4;1;1;2;1;2;2;1;1;1;2;1;1;1;2;1;1;1;1;1;1;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;6;3;1;1;3;2;2;1;1;1;1;1;1;1;1;1;2;1;1;1;1;3;1;2;2;1;4;1;1;1;1;1;1;1;1;1;3;2;5;4;4;3;1;1;2;2;1;2;1;1;1;1;2;1;2;1;1;1;1;3;1;3;1;1;4;1;1;1;1;1;2;4;3;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;1;1;3;3;2;1;2;2;1;1;1;1;1;1;3;2;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;2;2;2;1;3;71;8;2;2;4;2;3;2;1;2;3;1
2;1;1;643;1;3;2;2;3;3;1;4;1;5;1;1;4;1;4;1;1;2;1;2;2;1;1;1;5;1;1;1;2;1;23;11;1;3;1;2;2;1;1;3;1;1;1;1;1;1;1;1;1;1;4;1;1;1;1;1;3;6;3;1;1;3;2;2;1;1;1;1;2;1;1;1;1;2;1;1;1;1;3;1;2;7;1;7;1;1;1;1;1;1;1;1;1;3;2;5;4;4;3;1;1;10;3;1;2;2;1;8;2;2;1;2;1;1;2;1;4;1;3;1;1;6;1;1;1;1;1;2;4;6;2;2;2;10;1;1;1;1;1;2;1;1;1;1;1;1;6;1;1;1;1;1;1;1;2;2;1;1;3;3;2;1;2;2;1;1;1;1;1;1;3;2;2;3;1;1;3;1;1;2;1;1;1;1;1;3;1;2;4;2;1;3;86;8;2;2;4;2;4;2;2;2;3;
3;2;2;920;3;5;2;2;3;3;1;4;2;5;1;1;4;1;4;1;1;2;1;2;2;1;1;1;18;1;1;5;4;1;33;26;1;3;8;3;2;1;1;4;1;6;3;1;1;3;6;1;3;1;5;1;1;1;1;1;3;7;3;1;1;5;2;5;1;1;1;1;4;1;4;1;1;2;1;5;1;1;3;1;3;7;1;16;1;2;1;5;6;1;3;1;1;3;2;5;4;6;3;1;3;12;6;11;2;2;1;11;2;3;5;2;2;1;8;5;4;1;3;3;1;9;1;1;1;3;1;2;8;6;2;3;4;17;1;1;2;1;5;2;1;1;1;1;1;1;10;1;1;2;2;1;3;1;5;3;1;1;6;12;2;1;4;2;1;3;1;2;5;1;3;2;2;3;2;1;3;1;9;2;1;3;1;1;2;6;1;2;11;2;1;4;91;10;2;2;5;2;4;3;2;2;4;
4;2;2;1406;3;7;2;2;4;3;1;4;2;6;1;1;4;1;4;2;2;2;1;2;2;1;1;1;28;1;1;7;4;1;33;43;1;5;8;3;4;2;1;4;1;15;3;1;1;4;10;1;6;1;5;1;1;2;1;1;7;10;3;1;1;8;2;8;1;1;2;5;4;2;4;1;1;4;1;5;1;1;3;1;3;16;3;16;1;2;1;9;7;1;3;1;1;5;2;5;7;8;3;5;3;23;6;11;2;2;1;27;2;10;6;2;2;1;8;5;4;4;3;6;1;10;5;1;1;3;1;2;29;7;2;4;5;33;1;1;6;1;7;2;1;1;3;1;1;4;15;3;2;2;2;1;6;3;5;14;1;1;14;14;2;1;4;6;1;3;2;2;13;2;12;6;3;3;3;1;3;1;9;7;1;5;5;1;2;6;1;2;18;2;1;4;94;14;2;3;5;2;4;3;2;;;
5;5;3;2075;4;8;4;2;5;4;1;7;2;9;1;1;5;1;5;2;3;2;1;2;2;1;1;1;43;1;1;7;4;1;36;45;1;6;18;9;4;2;3;7;1;19;3;1;8;4;18;1;11;1;5;1;1;6;1;1;8;13;6;1;1;12;4;13;1;1;2;5;4;8;4;1;1;7;1;11;2;2;3;1;3;16;3;19;1;2;3;9;11;5;7;1;1;6;3;5;7;8;3;5;3;33;14;37;2;2;1;36;2;10;7;3;2;1;10;6;4;4;3;18;1;33;5;1;1;3;1;3;50;7;2;4;7;36;1;1;6;1;8;2;1;1;3;1;3;6;23;3;2;2;2;1;6;3;6;14;1;1;14;28;3;1;8;6;1;3;3;2;23;2;17;7;3;3;3;1;3;4;14;11;7;7;5;1;2;8;3;2;18;2;1;4;94;15;2;3;6;9;4;3;4;;;
6;5;4;2877;5;8;4;2;7;5;1;8;4;9;1;1;8;1;5;2;3;2;1;2;2;1;1;1;61;2;2;13;6;1;41;45;1;7;27;14;4;2;3;7;1;25;3;2;10;6;24;6;26;1;5;3;1;6;1;1;8;13;6;1;2;18;4;20;1;1;2;5;4;12;8;1;1;9;1;16;2;2;1;1;5;31;7;26;1;2;9;13;11;12;10;1;1;6;3;5;23;9;3;6;6;38;26;40;2;3;1;43;3;11;9;6;2;1;10;18;5;7;3;27;1;35;6;2;1;3;1;4;79;11;3;6;9;42;1;1;9;2;8;2;1;1;3;3;3;6;33;6;2;2;3;1;6;4;14;21;1;1;16;36;3;3;10;6;3;5;4;2;23;3;19;8;3;4;7;1;3;6;14;11;7;7;5;1;2;8;8;8;25;7;1;5;112;15;3;3;5;9;4;;;;;
7;5;4;5509;8;14;7;2;7;5;1;8;4;12;1;1;10;1;5;2;3;2;1;2;2;1;1;1;95;2;3;19;6;1;47;45;3;7;42;18;5;2;3;7;1;32;3;2;16;10;38;6;34;1;5;3;1;18;2;1;8;13;9;1;2;19;6;30;1;2;2;11;4;12;8;1;1;9;1;22;5;2;1;1;7;57;13;30;1;2;9;22;15;19;16;1;1;12;3;5;41;10;3;6;12;42;26;50;2;15;1;55;6;11;9;8;3;5;12;47;7;7;6;33;3;44;6;2;1;7;1;4;94;16;3;7;9;42;1;3;12;2;17;2;1;4;3;3;3;6;43;7;4;2;3;1;12;4;17;27;2;1;42;42;3;3;14;7;3;9;5;2;25;3;23;8;4;4;10;1;3;6;23;11;7;8;5;1;2;8;8;8;28;8;2;5;125;20;3;3;5;9;;;;;;
8;5;4;6087;8;14;7;2;10;5;1;8;4;12;1;1;12;1;5;2;3;3;1;2;3;1;1;1;139;2;4;26;6;1;49;56;5;9;56;21;5;4;3;9;1;56;4;3;21;10;82;6;43;1;6;4;1;18;2;1;8;14;9;1;5;31;19;30;1;6;2;15;4;17;13;1;1;13;1;31;7;2;1;1;11;89;17;30;1;2;13;23;28;35;32;1;1;18;9;5;51;13;5;6;23;51;33;54;2;15;5;69;6;12;12;9;4;6;13;98;11;7;11;45;3;49;9;2;1;7;1;5;110;19;3;7;49;70;1;4;17;2;17;2;1;4;3;3;3;6;43;11;4;5;3;1;12;4;18;47;3;1;44;48;12;11;14;15;3;13;5;2;29;3;26;8;4;5;10;1;5;6;30;11;9;8;9;1;3;9;10;9;31;8;2;6;125;20;3;3;5;9;;;;;;
9;5;4;8141;9;14;11;2;13;6;1;8;4;12;1;1;12;1;5;3;3;3;1;2;3;2;1;1;245;4;7;32;12;1;49;56;12;10;90;29;5;4;4;31;1;87;6;10;21;23;128;6;50;1;6;5;1;19;3;1;15;15;9;1;5;31;27;41;1;8;3;20;4;19;23;1;1;13;1;49;7;2;1;1;13;141;24;31;1;2;22;26;38;46;44;1;1;21;9;7;52;13;8;8;23;55;46;56;2;20;6;86;6;12;14;12;14;9;15;192;16;7;15;53;3;53;9;2;2;7;1;5;158;23;3;7;50;70;4;5;19;2;19;2;1;5;3;3;4;9;46;24;5;6;3;1;12;5;18;52;3;5;44;81;16;11;15;17;3;13;5;2;32;3;26;8;5;5;10;1;7;12;33;11;9;8;10;1;3;10;10;9;36;9;2;6;126;21;;;;;;;;;;
10;7;11;9802;10;19;15;6;16;6;1;8;4;13;1;1;12;1;5;3;3;3;1;2;3;2;1;1;388;10;10;35;15;1;52;56;12;10;114;41;6;13;4;45;3;108;9;10;23;23;188;6;50;1;7;5;1;21;3;1;18;15;11;1;5;41;34;59;1;10;5;21;4;19;23;1;1;19;1;68;16;3;1;1;18;181;38;35;1;2;34;27;43;48;54;1;1;30;15;11;67;13;10;9;30;59;49;68;3;33;6;109;11;15;28;24;18;9;16;359;21;7;18;58;3;60;11;2;2;15;1;9;162;27;4;7;51;77;4;5;20;2;36;3;1;5;4;3;4;9;50;36;6;6;3;1;12;5;18;69;3;5;58;94;22;12;15;17;3;19;5;4;42;6;39;15;7;6;18;1;7;12;33;12;9;8;10;1;3;10;11;15;39;9;4;6;135;;;;;;;;;;;
