Country/Region;US;Korea, South;China;Taiwan*;Thailand;Japan;Vietnam;Singapore;France;Nepal;Malaysia;Canada;Australia;Cambodia;Sri Lanka;Germany;Finland;United Arab Emirates;Philippines;India;Italy;Sweden;Russia;United Kingdom;Spain;Belgium;Egypt;Iran;Lebanon;Israel;Iraq;Oman;Afghanistan;Bahrain;Kuwait;Algeria;Croatia;Switzerland;Austria;Pakistan;Brazil;Georgia;Greece;North Macedonia;Norway;Romania;Estonia;San Marino;Denmark;Netherlands;Belarus;Iceland;Lithuania;Mexico;New Zealand;Nigeria;Ireland;Luxembourg;Monaco;Qatar;Ecuador;Azerbaijan;Armenia;Dominican Republic;Czechia;Indonesia;Portugal;Andorra;Latvia;Morocco;Saudi Arabia;Senegal;Argentina;Chile;Jordan;Ukraine;Hungary;Liechtenstein;Poland;Tunisia;Faroe Islands-Denmark;Saint Barthelemy-France;Gibraltar-United Kingdom;Bosnia and Herzegovina;Slovenia;South Africa;West Bank and Gaza;Bhutan;Cameroon;Colombia;Costa Rica;Peru;Serbia;Slovakia;Togo;Holy See;Malta;Martinique-France;French Guiana-France;Bulgaria;Maldives;Bangladesh;Paraguay;Moldova;Albania;Cyprus;Brunei;St Martin-France;Burkina Faso;Mongolia;Panama;Channel Islands-United Kingdom;Bolivia;Reunion-France;Honduras;Congo (Kinshasa);Cote d'Ivoire;Jamaica;Turkey;Cuba;Guyana;French Polynesia-France;Guadeloupe-France;Cayman Islands-United Kingdom;Kazakhstan;Ethiopia;Sudan;Guinea;Kenya;Antigua and Barbuda;Aruba-Netherlands;Uruguay;Ghana;Namibia;Seychelles;Trinidad and Tobago;Venezuela;Eswatini;Gabon;Guatemala;Mauritania;Rwanda;Saint Lucia;Saint Vincent and the Grenadines;Suriname;Curacao-Netherlands;Central African Republic;Congo (Brazzaville);Equatorial Guinea;Uzbekistan;Mayotte-France;Greenland-Denmark;Benin;Liberia;Somalia;Tanzania;Bahamas;Barbados;Montenegro;Gambia;Montserrat-United Kingdom;Kyrgyzstan;Mauritius;Zambia;Djibouti;New Caledonia-France;BermudaUnited Kingdom;Chad;El Salvador;Fiji;Nicaragua;Isle of Man-United Kingdom;Sint Maarten-Netherlands;Madagascar;Haiti;Angola;Cabo Verde;Niger;Papua New Guinea;Zimbabwe;Eritrea;Uganda;Dominica;Grenada;Mozambique;Syria;Timor-Leste;Belize;Laos;Libya;Guinea-Bissau;Mali;Saint Kitts and Nevis;Northwest Territories-Canada;Yukon-Canada;Kosovo;Burma;Anguilla-United Kingdom;British Virgin Islands-United Kingdom;Turks and Caicos Islands-United Kingdom;MS Zaandam;Botswana;Burundi;Sierra Leone;Bonaire, Sint Eustatius and Saba-Netherlands;Malawi;Falkland Islands (Islas Malvinas)-United Kingdom
Density (P/km2);36;527;153;673;137;347;314;8,358;119;203;99;4;3;95;341;240;18;118;368;464;206;25;9;281;94;383;103;52;667;400;93;16;60;2,239;240;18;73;219;109;287;25;57;81;83;15;84;31;566;137;508;47;3;43;66;18;226;72;242;26,337;248;71;123;104;225;139;151;111;164;30;83;16;87;17;26;115;75;107;238;124;76;35;470;3,369;64;103;49;;20;56;46;100;26;100;114;152;2,003;1,380;354;4;64;1,802;1,265;18;123;105;131;83;730;76;2;58;915;11;358;89;;83;273;110;106;4;77;237;274;7;115;25;53;94;223;593;20;137;3;214;273;32;67;9;167;5;525;301;284;4;370;8;;50;79;728;0;108;53;25;67;39;668;47;239;50;34;626;25;43;16;1,246;13;313;49;55;149;1,261;48;414;26;138;19;20;38;35;229;96;331;40;95;89;17;32;4;70;17;205;;;;;167;202;41;;4;463;111;;203;0
1;0.000328579;0.200492341;0.04047203;1.186449224;0.056239311;0.043385046;0.06628109;244.1967373;0.055860267;0.239117903;0.283516551;0.002808062;0.018454609;0.339863737;0.743685381;0.034189257;0.586327276;4.825186572;0.030646204;0.000243645;0.112702798;0.245109685;0.000845195;0.121948296;0.043000733;2.851413202;0.009835442;0.014741704;14.31739118;5.339150435;0.057483735;1.227105419;0.039593085;773.3069284;13.15949879;0.009360793;4.331517205;2.923801645;2.687535588;0.01176388;0.000553324;3.581874954;0.745581363;19.12245345;0.510380215;0.226972581;17.61668819;491612.7217;4.083505724;1.730222611;0.526376472;25.76284093;5.802297586;0.003970246;0.77406267;0.005318457;2.953030744;617.5856916;17102674.76;29.87783919;1.368554422;3.589392549;11.84401108;1.912010933;3.636132989;0.004036615;2.135172286;27471.23792;8.432312532;0.060922375;0.013201259;0.310316315;0.00832249;0.071149225;1.104665167;0.039212776;2.293126222;163715.1638;0.086570055;0.544101756;14659.11627;14453366.16;2968063.633;11.89174059;47.66330411;0.013930266;#диаия./0!;33.59205341;0.079468374;0.017767007;3.853558875;0.023915894;1.309900918;3.824516327;2.217771406;3121.877927;21235.1011;5027.55854;224.1877582;5.302305136;24669.06423;0.139920251;0.353821579;7.558598735;25.35706499;179.7332567;433.6742848;976549.7262;0.173934209;0.186095237;3.115396277;30269.60515;0.161456728;446.6159364;1.814452094;#диаия./0!;0.119284865;31.13413795;0.015464472;2.478715975;6.465544601;2927.411432;1480.332052;63435.01117;0.079418041;0.008701161;0.013002159;0.307299278;0.032510739;23253.17305;104044.4083;6.629760935;0.425674004;0.929339496;44250.84169;278.7752955;0.079148884;49.77783828;1.816753432;0.520301775;0.231274624;3.129471584;8926.750932;23075.01633;11.62327445;13741.1036;0.342955386;#диаия./0!;25.40176821;0.070523905;9781.261932;#диаия./0!;0.734833955;2.071920092;0.098972857;0.018777096;252.1972792;16177.39127;238.2962928;40.9226659;2006415.393;2.396328239;1161.127208;0.147942212;44.05087774;392.5941626;642508.2724;0.048182231;7.439829729;60.97457495;1.253283726;20606.83366;685940.6838;0.187795269;6.368366396;0.024069799;446.4263414;0.032425332;0.249846224;0.172018471;2.782835048;0.109452085;18525.72227;26142.39599;0.040945756;0.310180756;51.19952968;107.5214231;1.20905796;0.084719461;36.1474284;0.082907369;144869.486;#диаия./0!;#диаия./0!;#диаия./0!;#диаия./0!;1483850.845;442055.032;109405.8264;#диаия./0!;2.169923236;6.549226441;1.744398264;#диаия./0!;1.664138745;#диаия./0!
2;0.000328579;0.200492341;0.047488167;1.186449224;0.084358966;0.043385046;0.06628109;732.5902119;0.083790401;0.239117903;0.378022068;0.002808062;0.023068261;0.339863737;0.743685381;0.136757028;0.586327276;4.825186572;0.030646204;0.000243645;0.112702798;0.245109685;0.000845195;0.121948296;0.043000733;2.851413202;0.009835442;0.036854259;14.31739118;5.339150435;0.057483735;1.227105419;0.039593085;17786.05935;144.7544867;0.009360793;12.99455161;2.923801645;2.687535588;0.01176388;0.000553324;3.581874954;2.236744088;19.12245345;0.510380215;0.226972581;17.61668819;491612.7217;4.083505724;1.730222611;0.526376472;25.76284093;5.802297586;0.015880984;0.77406267;0.005318457;2.953030744;617.5856916;17102674.76;89.63351758;1.368554422;3.589392549;11.84401108;1.912010933;3.636132989;0.004036615;2.135172286;27471.23792;8.432312532;0.060922375;0.013201259;0.620632629;0.00832249;0.071149225;1.104665167;0.039212776;2.293126222;163715.1638;0.086570055;0.544101756;14659.11627;14453366.16;2968063.633;11.89174059;166.8215644;0.013930266;#диаия./0!;33.59205341;0.079468374;0.017767007;3.853558875;0.023915894;1.309900918;3.824516327;2.217771406;3121.877927;21235.1011;5027.55854;224.1877582;5.302305136;24669.06423;0.139920251;0.353821579;7.558598735;126.7853249;269.5998851;433.6742848;976549.7262;0.347868419;0.186095237;24.92317021;60539.2103;0.161456728;446.6159364;1.814452094;#диаия./0!;0.119284865;62.2682759;0.015464472;3.304954633;6.465544601;2927.411432;1480.332052;63435.01117;0.119127062;0.008701161;0.013002159;0.307299278;0.032510739;23253.17305;104044.4083;6.629760935;0.851348009;0.929339496;44250.84169;278.7752955;0.39574442;49.77783828;1.816753432;0.520301775;0.231274624;3.129471584;17853.50186;23075.01633;11.62327445;13741.1036;0.342955386;#диаия./0!;25.40176821;0.423143428;9781.261932;#диаия./0!;0.734833955;2.071920092;0.098972857;0.018777096;252.1972792;16177.39127;238.2962928;40.9226659;2006415.393;2.396328239;1161.127208;0.147942212;44.05087774;392.5941626;642508.2724;0.048182231;7.439829729;60.97457495;1.253283726;20606.83366;685940.6838;0.187795269;6.368366396;0.048139597;1339.279024;0.032425332;0.249846224;0.516055412;2.782835048;0.109452085;37051.44453;26142.39599;0.040945756;0.310180756;51.19952968;107.5214231;1.813586941;0.084719461;36.1474284;0.165814738;144869.486;#диаия./0!;#диаия./0!;#диаия./0!;#диаия./0!;1483850.845;442055.032;109405.8264;#диаия./0!;2.893230981;6.549226441;3.488796528;#диаия./0!;1.664138745;
3;0.000657158;0.400984683;0.067945744;3.559347671;0.140598277;0.043385046;0.06628109;732.5902119;0.083790401;0.239117903;0.378022068;0.005616123;0.023068261;0.339863737;0.743685381;0.136757028;0.586327276;4.825186572;0.030646204;0.000243645;0.112702798;0.245109685;0.000845195;0.121948296;0.043000733;2.851413202;0.009835442;0.132675334;14.31739118;5.339150435;0.287418675;2.454210839;0.039593085;25519.12864;342.1469686;0.009360793;12.99455161;23.39041316;4.031303382;0.01176388;0.000553324;3.581874954;2.98232545;19.12245345;3.062281291;0.680917744;17.61668819;491612.7217;12.25051717;10.38133567;0.526376472;77.28852279;5.802297586;0.01985123;0.77406267;0.005318457;2.953030744;617.5856916;17102674.76;89.63351758;1.596646826;3.589392549;11.84401108;1.912010933;6.060221649;0.004036615;5.337930715;27471.23792;8.432312532;0.060922375;0.013201259;1.241265258;0.00832249;0.284596898;1.104665167;0.039212776;2.293126222;163715.1638;0.432850274;0.544101756;14659.11627;14453366.16;2968063.633;17.83761089;166.8215644;0.013930266;#диаия./0!;33.59205341;0.158936749;0.017767007;19.26779437;0.143495361;1.309900918;11.47354898;2.217771406;3121.877927;21235.1011;5027.55854;224.1877582;5.302305136;37003.59635;0.139920251;0.353821579;22.6757962;152.1423899;539.1997702;4770.417133;976549.7262;0.347868419;0.186095237;34.26935904;60539.2103;0.242185092;2233.079682;1.814452094;#диаия./0!;0.119284865;249.0731036;0.077322361;3.304954633;6.465544601;2927.411432;4440.996156;63435.01117;0.178690593;0.008701161;0.013002159;0.307299278;0.097532218;23253.17305;104044.4083;13.25952187;0.851348009;0.929339496;66376.26253;557.550591;0.672765514;49.77783828;1.816753432;1.040603551;0.231274624;15.64735792;17853.50186;23075.01633;11.62327445;13741.1036;0.342955386;#диаия./0!;25.40176821;0.705239047;9781.261932;#диаия./0!;1.469667909;4.143840183;0.098972857;0.056331289;252.1972792;40443.47818;357.4444392;40.9226659;2006415.393;4.792656478;4644.508831;0.147942212;44.05087774;785.1883252;642508.2724;0.048182231;22.31948919;60.97457495;2.506567452;103034.1683;685940.6838;0.187795269;6.368366396;0.048139597;1339.279024;0.064850664;0.249846224;0.516055412;2.782835048;0.985068766;37051.44453;26142.39599;0.122837269;0.310180756;51.19952968;215.0428462;3.627173881;0.084719461;36.1474284;0.455990529;144869.486;#диаия./0!;#диаия./0!;#диаия./0!;#диаия./0!;1483850.845;442055.032;136757.283;#диаия./0!;2.893230981;9.823839662;3.488796528;#диаия./0!;2.21885166;
4;0.000657158;0.400984683;0.103838822;3.559347671;0.196837588;0.043385046;0.06628109;976.7869492;0.083790401;0.239117903;0.378022068;0.005616123;0.027681913;0.339863737;0.743685381;0.136757028;0.586327276;4.825186572;0.061292407;0.000487289;0.112702798;0.245109685;0.000845195;0.121948296;0.043000733;2.851413202;0.009835442;0.206383853;14.31739118;5.339150435;0.402386145;2.454210839;0.039593085;25519.12864;565.858448;0.009360793;21.65758602;23.39041316;4.031303382;0.02352776;0.001106647;3.581874954;2.98232545;19.12245345;7.655703228;0.680917744;17.61668819;491612.7217;16.3340229;17.30222611;0.526376472;154.5770456;5.802297586;0.01985123;0.77406267;0.005318457;5.906061488;617.5856916;17102674.76;209.1448744;2.280924037;3.589392549;11.84401108;1.912010933;9.696354638;0.004036615;8.540689145;27471.23792;8.432312532;0.12184475;0.066006295;1.241265258;0.016644979;0.284596898;1.104665167;0.039212776;4.586252444;163715.1638;0.432850274;0.544101756;14659.11627;14453366.16;2968063.633;17.83761089;381.3064329;0.041790799;#диаия./0!;33.59205341;0.158936749;0.017767007;34.68202987;0.167411255;1.309900918;11.47354898;2.217771406;3121.877927;35391.83516;5027.55854;224.1877582;9.279033989;49338.12847;0.139920251;1.769107897;22.6757962;291.6062474;539.1997702;4770.417133;976549.7262;0.347868419;0.186095237;84.11569947;60539.2103;0.80728364;2679.695618;1.814452094;#диаия./0!;0.119284865;249.0731036;0.077322361;3.304954633;25.8621784;2927.411432;8881.992311;63435.01117;0.198545104;0.043505807;0.013002159;0.307299278;0.097532218;23253.17305;104044.4083;48.06576678;0.993239344;0.929339496;88501.68337;696.9382388;1.305956586;49.77783828;1.816753432;3.121810652;0.231274624;21.90630109;17853.50186;23075.01633;11.62327445;41223.31081;0.342955386;#диаия./0!;101.6070728;1.057858571;29343.78579;#диаия./0!;1.469667909;4.143840183;0.098972857;0.112662579;756.5918377;40443.47818;1668.07405;40.9226659;2006415.393;11.18286511;5418.593636;0.147942212;44.05087774;785.1883252;1927524.817;0.048182231;22.31948919;121.9491499;2.506567452;267888.8376;1371881.368;0.751181078;19.10509919;0.072209396;1339.279024;0.097275997;0.249846224;0.516055412;2.782835048;0.985068766;129680.0559;26142.39599;0.204728781;1.550903778;51.19952968;215.0428462;3.627173881;0.084719461;36.1474284;0.74616632;144869.486;#диаия./0!;#диаия./0!;#диаия./0!;#диаия./0!;1483850.845;663082.5479;136757.283;#диаия./0!;2.893230981;9.823839662;3.488796528;;;
5;0.001642894;0.601477024;0.153247195;4.745796895;0.224957244;0.086770092;0.06628109;1220.983687;0.111720535;0.239117903;0.661538618;0.005616123;0.041522869;0.339863737;0.743685381;0.170946285;0.586327276;6.031483214;0.061292407;0.000730934;0.112702798;0.245109685;0.000845195;0.121948296;0.043000733;2.851413202;0.009835442;0.316946631;14.31739118;5.339150435;0.402386145;2.454210839;0.039593085;27839.04942;592.1774456;0.009360793;25.98910323;52.62842962;12.09391015;0.02352776;0.001106647;10.74562486;5.219069538;19.12245345;9.697224089;0.680917744;17.61668819;3932901.774;16.3340229;31.144007;0.526376472;283.3912502;5.802297586;0.01985123;0.77406267;0.005318457;17.71818446;617.5856916;17102674.76;239.0227136;2.965201248;7.178785098;11.84401108;1.912010933;14.54453196;0.008073229;13.87861986;27471.23792;8.432312532;0.12184475;0.066006295;1.241265258;0.066579917;0.284596898;1.104665167;0.039212776;8.025941777;163715.1638;0.952270603;1.088203512;29318.23253;14453366.16;2968063.633;17.83761089;381.3064329;0.041790799;#диаия./0!;33.59205341;0.158936749;0.053301021;34.68202987;0.263074829;6.549504588;26.77161429;2.217771406;3121.877927;42470.2022;7541.33781;224.1877582;9.279033989;49338.12847;0.139920251;1.769107897;22.6757962;418.3915723;1258.132797;16045.94854;976549.7262;0.347868419;0.186095237;112.154266;60539.2103;0.80728364;3126.311555;2.721678141;#диаия./0!;0.119284865;311.3413795;0.092786833;3.304954633;25.8621784;2927.411432;26645.97693;63435.01117;0.655198842;0.043505807;0.013002159;0.307299278;0.097532218;23253.17305;156066.6125;82.87201169;0.993239344;0.929339496;88501.68337;975.7135343;1.424679912;49.77783828;1.816753432;3.121810652;0.231274624;25.03577267;17853.50186;23075.01633;11.62327445;41223.31081;0.342955386;#диаия./0!;152.4106092;1.622049808;29343.78579;#диаия./0!;1.469667909;4.143840183;0.098972857;0.112662579;756.5918377;48532.17381;1668.07405;40.9226659;2006415.393;11.18286511;10837.18727;0.221913318;44.05087774;1570.37665;1927524.817;0.048182231;22.31948919;182.9237248;2.506567452;473957.1743;1371881.368;1.064173194;22.28928239;0.072209396;1339.279024;0.097275997;0.249846224;0.516055412;11.13134019;1.532329191;203782.9449;182996.7719;0.286620293;1.550903778;51.19952968;215.0428462;4.836231842;0.254158382;36.1474284;0.74616632;144869.486;#диаия./0!;#диаия./0!;#диаия./0!;#диаия./0!;1483850.845;663082.5479;164108.7397;#диаия./0!;2.893230981;9.823839662;6.977593055;;;
6;0.001642894;0.801969366;0.212478158;5.932246119;0.224957244;0.086770092;0.06628109;1709.377161;0.139650668;0.239117903;0.756044135;0.011232246;0.041522869;0.339863737;0.743685381;0.273514055;0.586327276;6.031483214;0.061292407;0.000730934;0.112702798;0.245109685;0.000845195;0.121948296;0.043000733;2.851413202;0.009835442;0.449621965;28.63478237;10.67830087;0.747288556;3.681316258;0.039593085;31705.58406;592.1774456;0.009360793;30.32062043;78.94264442;18.81274912;0.02352776;0.001106647;10.74562486;5.219069538;19.12245345;12.75950538;0.680917744;35.23337638;4916127.217;24.50103434;41.52534267;3.158258833;669.8338642;5.802297586;0.01985123;2.32218801;0.005318457;17.71818446;617.5856916;17102674.76;239.0227136;2.965201248;7.178785098;11.84401108;3.824021866;21.81679794;0.008073229;21.35172286;27471.23792;8.432312532;0.12184475;0.066006295;1.241265258;0.099869876;0.569193797;1.104665167;0.039212776;10.319068;163715.1638;1.385120877;1.088203512;29318.23253;4817788.719;2968063.633;29.72935148;738.7812137;0.097511864;#диаия./0!;33.59205341;0.158936749;0.159903063;50.09626537;0.263074829;15.71881101;38.24516327;2.217771406;3121.877927;42470.2022;7541.33781;224.1877582;30.48825453;55505.39453;0.139920251;2.122929477;45.35159241;481.7842348;2336.532337;17346.97139;976549.7262;0.521802628;0.186095237;133.9620399;90808.81545;0.888012004;4019.543428;5.443356281;#диаия./0!;0.119284865;311.3413795;0.278360499;4.131193292;45.25881221;2927.411432;39968.9654;63435.01117;0.694907863;0.052206968;0.026004318;0.307299278;0.097532218;23253.17305;208088.8166;130.9377785;1.560804683;1.394009244;132752.5251;1254.48883;1.662126564;49.77783828;1.816753432;4.682715978;0.462549249;25.03577267;17853.50186;23075.01633;11.62327445;41223.31081;1.028866157;#диаия./0!;152.4106092;2.327288856;58687.57159;#диаия./0!;1.469667909;6.215760275;0.098972857;0.112662579;1008.789117;113241.7389;2502.111075;40.9226659;2006415.393;12.78041727;13933.52649;0.221913318;132.1526332;1962.970813;1927524.817;0.144546693;37.19914864;243.8982998;2.506567452;473957.1743;2057822.052;1.18937004;25.47346558;0.072209396;1785.705365;0.226977326;0.249846224;0.516055412;16.69701029;1.532329191;203782.9449;182996.7719;0.286620293;1.550903778;51.19952968;215.0428462;4.836231842;0.677755685;144.5897136;1.036342111;507043.2009;#диаия./0!;#диаия./0!;#диаия./0!;#диаия./0!;2225776.267;663082.5479;136757.283;#диаия./0!;2.893230981;;;;;
7;0.001642894;0.801969366;0.40686207;9.49159379;0.393675177;0.15184766;0.06628109;1709.377161;0.139650668;0.239117903;0.756044135;0.011232246;0.055363826;0.339863737;0.743685381;0.341892569;0.586327276;6.031483214;0.061292407;0.000730934;0.112702798;0.245109685;0.000845195;0.121948296;0.043000733;2.851413202;0.009835442;0.700230929;28.63478237;16.0174513;1.092190966;3.681316258;0.039593085;36345.42564;592.1774456;0.028082378;30.32062043;122.7996691;24.18782029;0.0294097;0.001106647;10.74562486;5.219069538;19.12245345;16.33216689;0.680917744;35.23337638;7865803.548;40.83505724;65.74845922;3.158258833;875.9365916;5.802297586;0.01985123;2.32218801;0.005318457;53.15455339;1235.171383;17102674.76;239.0227136;2.965201248;10.76817765;11.84401108;3.824021866;23.02884227;0.012109844;32.02758429;27471.23792;16.86462506;0.12184475;0.145213849;1.241265258;0.099869876;0.569193797;1.104665167;0.039212776;10.319068;163715.1638;1.904541205;2.72050878;29318.23253;4817788.719;2968063.633;41.62109207;1358.404167;0.181093461;#диаия./0!;33.59205341;0.158936749;0.159903063;84.77829525;0.358738403;24.88811744;61.19226123;2.217771406;3121.877927;84940.4044;7541.33781;224.1877582;54.34862765;61672.66059;0.139920251;2.122929477;90.70318482;532.4983647;2336.532337;21683.71424;976549.7262;2.609013139;0.186095237;171.3467952;181617.6309;0.888012004;4019.543428;7.257808375;#диаия./0!;0.596424323;373.6096554;0.726830191;5.783670608;45.25881221;5854.822865;48850.95771;190305.0335;0.873598456;0.052206968;0.026004318;0.307299278;0.227575175;23253.17305;208088.8166;155.799382;2.270261357;1.394009244;154877.9459;1254.48883;1.662126564;49.77783828;5.450260296;6.243621303;0.462549249;53.20101693;17853.50186;23075.01633;46.49309778;41223.31081;1.028866157;#диаия./0!;152.4106092;3.032527903;68468.83352;#диаия./0!;1.469667909;6.215760275;0.098972857;0.225325158;1008.789117;137507.8258;3216.999953;81.8453318;2006415.393;33.54859534;16255.78091;0.221913318;132.1526332;2748.159138;2248778.954;0.144546693;66.95846756;304.8728747;2.506567452;515170.8416;2057822.052;1.439763732;25.47346558;0.096279195;1785.705365;0.324253322;0.249846224;0.516055412;16.69701029;2.517397957;203782.9449;182996.7719;0.32756605;1.550903778;51.19952968;215.0428462;4.836231842;0.677755685;144.5897136;1.160703164;579477.9439;#диаия./0!;#диаия./0!;#диаия./0!;#диаия./0!;2225776.267;663082.5479;136757.283;#диаия./0!;;;;;;
8;0.001642894;0.801969366;0.449549722;9.49159379;0.393675177;0.15184766;0.06628109;2441.967373;0.139650668;0.239117903;0.756044135;0.011232246;0.055363826;0.339863737;0.743685381;0.410271083;0.586327276;6.031483214;0.061292407;0.000730934;0.169054197;0.245109685;0.000845195;0.182922444;0.043000733;2.851413202;0.009835442;1.024548412;28.63478237;21.35660174;1.494577111;3.681316258;0.039593085;37892.03949;736.9319323;0.046803964;38.98365484;163.7328921;28.21912368;0.0294097;0.002213295;10.74562486;6.710232263;19.12245345;28.58129205;0.907890325;52.85006458;10323867.16;40.83505724;141.8782541;3.158258833;1107.80216;5.802297586;0.023821476;3.09625068;0.005318457;53.15455339;1235.171383;17102674.76;239.0227136;3.193293652;10.76817765;11.84401108;9.560054666;37.57337422;0.038347839;32.02758429;27471.23792;50.59387519;0.12184475;0.198018885;1.241265258;0.141482324;0.92493992;1.104665167;0.039212776;14.90532044;163715.1638;2.683671699;3.808712292;29318.23253;4817788.719;2968063.633;65.40457325;2121.017033;0.236814526;#диаия./0!;33.59205341;0.158936749;0.230971092;88.63185412;0.669645019;45.84653212;122.3845225;2.217771406;3121.877927;127410.6066;22624.01343;224.1877582;67.60439049;80174.45876;0.233200418;2.122929477;173.8477709;646.6051572;2965.598736;23418.41138;976549.7262;2.609013139;0.930476185;214.9623431;181617.6309;0.968740368;5359.391237;8.165034422;#диаия./0!;0.715709188;404.7437933;1.51551827;9.088625242;45.25881221;10733.84192;66614.94233;190305.0335;0.972871008;0.078310452;0.026004318;0.307299278;0.227575175;23253.17305;260111.0208;182.3184257;2.695935361;1.394009244;154877.9459;6829.99474;2.770210939;49.77783828;7.267013728;8.84513018;0.462549249;53.20101693;17853.50186;23075.01633;46.49309778;41223.31081;1.028866157;#диаия./0!;152.4106092;3.032527903;107593.8812;#диаия./0!;3.674169773;6.215760275;0.098972857;0.225325158;1008.789117;145596.5214;5599.962882;122.7679977;2006415.393;35.1461475;18578.03532;0.887653272;484.5596551;2748.159138;4818812.043;0.144546693;96.71778648;304.8728747;2.506567452;597598.1763;2057822.052;1.627559002;25.47346558;0.096279195;2232.131707;0.324253322;0.249846224;0.860092354;16.69701029;3.283562553;203782.9449;235281.5639;0.32756605;2.7916268;51.19952968;322.5642693;5.440760822;0.847194606;162.6634278;1.285064217;579477.9439;#диаия./0!;#диаия./0!;#диаия./0!;#диаия./0!;2225776.267;663082.5479;136757.283;#диаия./0!;;;;;;
9;0.001642894;0.801969366;0.601245981;10.67804301;0.393675177;0.238617752;0.06628109;3174.557585;0.167580802;0.239117903;0.756044135;0.011232246;0.055363826;0.339863737;0.743685381;0.410271083;0.586327276;6.031483214;0.091938611;0.000730934;0.169054197;0.245109685;0.000845195;0.182922444;0.086001465;2.851413202;0.009835442;1.805858712;57.26956474;37.37405304;1.839479522;7.362632517;0.039593085;37892.03949;736.9319323;0.112329513;43.31517205;263.1421481;38.96926603;0.0294097;0.002213295;14.32749982;23.11302224;19.12245345;44.40307873;1.361835487;176.1668819;10323867.16;93.92063165;221.4684942;3.158258833;1288.142046;5.802297586;0.023821476;3.87031335;0.005318457;56.10758414;1852.757075;17102674.76;448.1675879;3.421386056;10.76817765;11.84401108;9.560054666;37.57337422;0.054494297;43.77103187;27471.23792;67.45850025;0.182767124;0.26402518;1.241265258;0.158127304;1.636432165;1.104665167;0.039212776;14.90532044;163715.1638;4.241932685;3.808712292;29318.23253;4817788.719;2968063.633;77.29631385;3360.26294;0.33432639;#диаия./0!;33.59205341;0.158936749;0.390874155;100.1925307;0.908803955;60.25544221;168.2787184;2.217771406;3121.877927;148645.7077;22624.01343;313.8628615;68.92996677;80174.45876;0.373120669;2.830572636;173.8477709;697.3192872;4133.864905;24285.75995;976549.7262;3.478684186;1.116571422;267.9240798;181617.6309;0.968740368;6252.62311;10.88671256;#диаия./0!;1.073563782;467.0120692;2.969178651;13.21981853;45.25881221;14637.05716;78457.59875;190305.0335;1.052289049;0.078310452;0.026004318;0.614598555;0.227575175;23253.17305;260111.0208;261.8755569;3.263500701;1.394009244;154877.9459;6969.382388;2.770210939;199.1113531;9.08376716;9.885733731;0.462549249;59.4599601;17853.50186;23075.01633;58.11637223;41223.31081;1.028866157;#диаия./0!;228.6159139;3.244099617;234750.2864;#диаия./0!;4.409003728;6.215760275;0.098972857;0.225325158;1260.986396;145596.5214;6195.703614;122.7679977;10032076.96;35.1461475;31350.43461;1.183537696;484.5596551;2944.456219;5461320.316;0.144546693;96.71778648;304.8728747;2.506567452;659418.6772;2057822.052;1.627559002;25.47346558;0.120348993;2232.131707;0.324253322;0.249846224;1.204129295;33.39402058;3.611918808;203782.9449;235281.5639;0.32756605;3.101807556;51.19952968;322.5642693;6.045289802;0.847194606;162.6634278;1.492332639;651912.6869;#диаия./0!;#диаия./0!;#диаия./0!;#диаия./0!;;;;;;;;;;
