Figure2_Left;;
Country;X;Y
Cluster 1;;
China;25;3
Cluster 2;;
All other countries ;25;462
Cluster 2.1;;
Iran;10;28
Cluster 2.2;;
All other countries ;10;434
Cluster 2.2.1;;
Italy;3;21
Cluster 2.2.2;;
All other countries ;3;413
Cluster 2.2.2.1;;
KoreaSouth, Spain, Israel;2;57
Cluster 2.2.2.2;;
All other countries ;2;356
Cluster 2.2.2.1.1;;
KoreaSouth;1;2
Spain;1;25
Israel;1;30
Cluster 2.2.2.2.1;;
Nepal;1;10
SriLanka;1;15
Cambodia;1;14
Vietnam;1;7
Finland;1;17
Philippines;1;19
Russia;1;23
Canada;1;12
India;1;20
Australia;1;13
UnitedArabEmirates;1;18
Malaysia;1;11
Taiwan;1;4
Thailand;1;5
US;1;1
Singapore;1;8
Sweden;1;22
UnitedKingdom;1;24
France;1;9
Egypt;1;27
Lebanon;1;29
Japan;1;6
Germany;1;16
Belgium;1;26
