Figure2_Right;;
Country;X;Y
Cluster 1;;
Germany, Belgium;25;36
Cluster 2;;
All other countries ;25;264
Cluster 1.1;;
Belgium;9;22
Cluster 1.2;;
Germany;9;14
Cluster 2.1;;
Sweden, UnitedKingdom, France;19;47
Cluster 2.2;;
All other countries ;19;217
Cluster 2.1.1;;
France;12;7
Cluster 2.1.2;;
Sweden, UnitedKingdom;12;40
Cluster 2.1.2.1;;
UnitedKingdom;8;19
Cluster 2.1.2.2;;
Sweden;8;21
Cluster 2.2.1;;
Egypt, Lebanon, Japan;15;51
Cluster 2.2.2;;
All other countries ;15;166
Cluster 2.2.1.1;;
Japan;14;4
Cluster 2.2.1.2;;
Egypt, Lebanon;14;47
Cluster 2.2.1.2.1;;
Lebanon;13;24
Cluster 2.2.1.2.2;;
Egypt;13;23
Cluster 2.2.2.1;;
Singapore;8;6
Cluster 2.2.2.2;;
All other countries ;8;160
Cluster 2.2.2.2.1;;
US;5;1
Cluster 2.2.2.2.2;;
All other countries ;5;159
Cluster 2.2.2.2.2.1;;
Vietnam;3;5
Cluster 2.2.2.2.2.2;;
All other countries ;3;121
Cluster 2.2.2.2.2.3;;
Nepal, SriLanka, Cambodia;3;33
Cluster 2.2.2.2.2.2.1;;
UnitedArabEmirates;2;16
Australia;2;11
Malaysia;2;9
Taiwan;2;2
Thailand;2;3
Cluster 2.2.2.2.2.2.2;;
Canada, India;2;28
Cluster 2.2.2.2.2.2.3;;
Finland, Philippines, Russia;2;52
Cluster 2.2.2.2.2.2.2.1;;
Canada;1;10
India;1;18
Cluster 2.2.2.2.2.2.3.1;;
Finland;1;15
Philippines;1;17
Russia;1;20
Cluster 2.2.2.2.2.3.1;;
Nepal;1;8
SriLanka;1;13
Cambodia;1;12
