Day,Uganda,Eritrea,Dominica,Grenada,Mozambique,Syria,Timor-Leste,Belize,Libya,Laos,Saint Kitts and Nevis,Guinea-Bissau,Mali,British Virgin Islands-UK,Anguilla-UK,Turks and Caicos Islands-UK,Botswana,Sierra Leone,Burundi,Malawi,Falkland Islands (Islas Malvinas)-UK,"Bonaire, Sint Eustatius and Saba-Netherlands",MS Zaandam,West Bank and Gaza,Burma,Kosovo,Yukon-Canada,Congo (Brazzaville),Congo (Kinshasa),Northwest Territories-Canada
1,0.021862221,0.281974419,13.89159003,8.887071976,0.031994436,0.057140709,0.758469257,2.514913437,0.145533038,0.274892929,37.59469163,1.016259646,0.098761369,66.1572558,133.306672,103.3137898,1.275712517,0.125360678,0.168197488,0.156822139,287.3563218,,,,,,,,,
2,0.021862221,0.281974419,27.78318006,8.887071976,0.031994436,0.057140709,0.758469257,2.514913437,0.145533038,0.412339394,37.59469163,1.016259646,0.197522739,66.1572558,133.306672,103.3137898,1.700950023,0.250721357,0.168197488,0.156822139,,,,,,,,,,
3,0.196759988,0.281974419,27.78318006,8.887071976,0.095983307,0.057140709,0.758469257,5.029826873,0.145533038,0.824678788,37.59469163,1.016259646,0.543187532,66.1572558,133.306672,129.1422373,1.700950023,0.250721357,0.252296232,0.209096186,,,,,,,,,,
4,0.196759988,0.281974419,97.24113022,8.887071976,0.159972178,0.285703543,0.758469257,5.029826873,0.145533038,0.824678788,37.59469163,1.016259646,0.888852325,99.2358837,133.306672,129.1422373,1.700950023,0.250721357,0.252296232,,,,,,,,,,,
5,0.306071093,1.127897675,152.8074903,62.20950383,0.223961049,0.285703543,0.758469257,5.029826873,0.436599114,1.099571717,37.59469163,1.016259646,0.888852325,99.2358837,133.306672,154.9706847,1.700950023,0.501442713,0.252296232,,,,,,,,,,,
6,0.306071093,1.691846512,152.8074903,62.20950383,0.223961049,0.285703543,0.758469257,5.029826873,1.164264304,1.099571717,131.5814207,4.065038585,1.234517118,99.2358837,199.960008,129.1422373,1.700950023,,,,,,,,,,,,,
7,0.502831081,1.691846512,152.8074903,62.20950383,0.255955484,0.285703543,0.758469257,5.029826873,1.164264304,1.099571717,150.3787665,4.065038585,1.382659173,99.2358837,199.960008,129.1422373,,,,,,,,,,,,,,
8,0.655866628,1.691846512,152.8074903,79.98364779,0.255955484,0.514266378,0.758469257,7.54474031,1.45533038,1.237018181,150.3787665,4.573168408,1.530801227,99.2358837,199.960008,129.1422373,,,,,,,,,,,,,,
9,0.72145329,3.383693025,152.8074903,79.98364779,0.255955484,0.571407087,0.758469257,7.54474031,1.45533038,1.374464646,169.1761123,4.573168408,1.77770465,,,,,,,,,,,,,,,,,
10,0.72145329,3.383693025,166.6990804,79.98364779,0.255955484,0.571407087,0.758469257,7.54474031,1.600863418,1.374464646,169.1761123,7.621947347,1.925846705,,,,,,,,,,,,,,,,,
11,0.96193772,4.229616281,166.6990804,79.98364779,0.319944355,0.571407087,0.758469257,7.54474031,1.600863418,1.374464646,169.1761123,9.146336816,2.024608074,,,,,,,,,,,,,,,,,
12,0.96193772,4.229616281,166.6990804,88.87071976,0.319944355,0.914251338,0.758469257,10.05965375,2.619594685,1.374464646,,,,,,,,,,,,,,,,,,,,
13,0.983799941,6.203437212,166.6990804,106.6448637,0.319944355,0.914251338,0.758469257,10.05965375,,,,,,,,,,,,,,,,,,,,,,
14,1.049386604,6.203437212,194.4822604,106.6448637,0.319944355,0.914251338,0.758469257,,,,,,,,,,,,,,,,,,,,,,,
15,1.049386604,8.177258143,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
