Day,Australia,Belgium,Cambodia,Canada,China,Egypt,Finland,France,Germany,India,Iran,Israel,Italy,Japan,"Korea, South",Lebanon,Malaysia,Nepal,Philippines,Russia,Singapore,Spain,Sri Lanka,Sweden,Taiwan*,Thailand,UK,US,United Arab Emirates,Vietnam
1,0.156863459,0.086284084,0.059812315,0.026495573,0.380734348,0.009771885,0.180481959,0.030640301,0.011935461,0.000724635,0.023811523,0.115533009,0.033078723,0.015813219,0.019504894,0.146510594,0.092689863,0.034320849,0.009125663,0.013704782,0.170930178,0.021388188,0.046700059,0.099017107,0.041987213,0.028653304,0.029461151,0.003021124,0.404432499,0.020546838
2,0.196079323,0.086284084,0.059812315,0.026495573,0.446737566,0.009771885,0.180481959,0.045960451,0.047741845,0.000724635,0.059528806,0.115533009,0.033078723,0.015813219,0.019504894,0.146510594,0.123586483,0.034320849,0.009125663,0.013704782,0.512790534,0.021388188,0.046700059,0.099017107,0.041987213,0.042979956,0.029461151,0.003021124,0.404432499,0.020546838
3,0.196079323,0.086284084,0.059812315,0.052991146,0.639189052,0.009771885,0.180481959,0.045960451,0.047741845,0.000724635,0.214303703,0.115533009,0.033078723,0.015813219,0.039009787,0.146510594,0.123586483,0.034320849,0.009125663,0.013704782,0.512790534,0.021388188,0.046700059,0.099017107,0.125961638,0.07163326,0.029461151,0.006042248,0.404432499,0.020546838
4,0.235295188,0.086284084,0.059812315,0.052991146,0.976847617,0.009771885,0.180481959,0.045960451,0.047741845,0.001449271,0.333361316,0.115533009,0.033078723,0.015813219,0.039009787,0.146510594,0.123586483,0.034320849,0.018251326,0.013704782,0.683720712,0.021388188,0.046700059,0.099017107,0.125961638,0.100286565,0.029461151,0.006042248,0.404432499,0.020546838
5,0.352942782,0.086284084,0.059812315,0.052991146,1.441649221,0.009771885,0.180481959,0.061280601,0.059677307,0.002173906,0.511947735,0.115533009,0.033078723,0.031626438,0.058514681,0.146510594,0.216276346,0.034320849,0.018251326,0.013704782,0.85465089,0.021388188,0.046700059,0.099017107,0.167948851,0.114613217,0.029461151,0.015105619,0.505540624,0.020546838
6,0.352942782,0.086284084,0.059812315,0.105982292,1.998855329,0.009771885,0.180481959,0.076600752,0.095483691,0.002173906,0.726251438,0.231066017,0.033078723,0.031626438,0.078019575,0.293021188,0.247172967,0.034320849,0.018251326,0.013704782,1.196511247,0.021388188,0.046700059,0.099017107,0.209936064,0.114613217,0.029461151,0.015105619,0.505540624,0.020546838
7,0.470590376,0.086284084,0.059812315,0.105982292,3.827491835,0.009771885,0.180481959,0.076600752,0.119354613,0.002173906,1.131047322,0.346599026,0.033078723,0.055346267,0.078019575,0.293021188,0.247172967,0.034320849,0.018251326,0.013704782,1.196511247,0.021388188,0.046700059,0.099017107,0.335897702,0.200573129,0.029461151,0.015105619,0.505540624,0.020546838
8,0.470590376,0.086284084,0.059812315,0.105982292,4.229069304,0.009771885,0.180481959,0.076600752,0.143225536,0.002173906,1.654900818,0.462132035,0.049618085,0.055346267,0.078019575,0.293021188,0.247172967,0.034320849,0.018251326,0.013704782,1.709301781,0.021388188,0.046700059,0.099017107,0.335897702,0.200573129,0.044191726,0.015105619,0.505540624,0.020546838
9,0.470590376,0.086284084,0.059812315,0.105982292,5.65612834,0.009771885,0.180481959,0.091920902,0.143225536,0.002173906,2.916911514,0.808731061,0.049618085,0.086972706,0.078019575,0.586042375,0.247172967,0.034320849,0.027376989,0.013704782,2.222092315,0.042776377,0.046700059,0.099017107,0.377884915,0.200573129,0.044191726,0.015105619,0.505540624,0.020546838
10,0.509806241,0.086284084,0.059812315,0.105982292,6.810142487,0.009771885,0.180481959,0.091920902,0.143225536,0.002173906,4.619435377,1.155330086,0.049618085,0.118599144,0.21455383,1.465105938,0.247172967,0.034320849,0.027376989,0.013704782,2.73488285,0.042776377,0.046700059,0.099017107,0.419872128,0.27220639,0.044191726,0.021147867,0.505540624,0.061640514
11,0.509806241,0.086284084,0.059812315,0.132477865,8.261518498,0.009771885,0.180481959,0.091920902,0.143225536,0.002173906,7.060116439,1.155330086,0.049618085,0.158132192,0.234058724,1.90463772,0.308966209,0.034320849,0.027376989,0.013704782,3.076743206,0.042776377,0.046700059,0.099017107,0.419872128,0.27220639,0.117844603,0.024168991,0.707756874,0.061640514
