Day,Eritrea,Dominica,Grenada,Mozambique,Syria,Timor-Leste,Belize,Laos,Libya,Guinea-Bissau,Saint Kitts and Nevis,Mali,Turks and Caicos Islands-UK,British Virgin Islands-UK,Anguilla-UK,Botswana,Burundi,Sierra Leone,Malawi,"Bonaire, Sint Eustatius and Saba-Netherlands",MS Zaandam,Greenland-Denmark,Burma,Kosovo,Yukon-Canada,Northwest Territories-Canada,Congo (Brazzaville),West Bank and Gaza,Congo (Kinshasa),Falkland Islands (Islas Malvinas)-UK
1,2.782835048,18525.72227,26142.39599,0.040945756,0.310180756,51.19952968,107.5214231,1.20905796,0.084719461,36.1474284,144869.486,0.082907369,109405.8264,442055.032,1483850.845,2.169923236,6.549226441,1.744398264,1.664138745,,,,,,,,,,,
2,2.782835048,37051.44453,26142.39599,0.040945756,0.310180756,51.19952968,107.5214231,1.813586941,0.084719461,36.1474284,144869.486,0.165814738,109405.8264,442055.032,1483850.845,2.893230981,6.549226441,3.488796528,1.664138745,,,,,,,,,,,
3,2.782835048,37051.44453,26142.39599,0.122837269,0.310180756,51.19952968,215.0428462,3.627173881,0.084719461,36.1474284,144869.486,0.455990529,136757.283,442055.032,1483850.845,2.893230981,9.823839662,3.488796528,2.21885166,,,,,,,,,,,
4,2.782835048,129680.0559,26142.39599,0.204728781,1.550903778,51.19952968,215.0428462,3.627173881,0.084719461,36.1474284,144869.486,0.74616632,136757.283,663082.5479,1483850.845,2.893230981,9.823839662,3.488796528,,,,,,,,,,,,
5,11.13134019,203782.9449,182996.7719,0.286620293,1.550903778,51.19952968,215.0428462,4.836231842,0.254158382,36.1474284,144869.486,0.74616632,164108.7397,663082.5479,1483850.845,2.893230981,9.823839662,6.977593055,,,,,,,,,,,,
6,16.69701029,203782.9449,182996.7719,0.286620293,1.550903778,51.19952968,215.0428462,4.836231842,0.677755685,144.5897136,507043.2009,1.036342111,136757.283,663082.5479,2225776.267,2.893230981,,,,,,,,,,,,,,
7,16.69701029,203782.9449,182996.7719,0.32756605,1.550903778,51.19952968,215.0428462,4.836231842,0.677755685,144.5897136,579477.9439,1.160703164,136757.283,663082.5479,2225776.267,,,,,,,,,,,,,,,
8,16.69701029,203782.9449,235281.5639,0.32756605,2.7916268,51.19952968,322.5642693,5.440760822,0.847194606,162.6634278,579477.9439,1.285064217,136757.283,663082.5479,2225776.267,,,,,,,,,,,,,,,
9,33.39402058,203782.9449,235281.5639,0.32756605,3.101807556,51.19952968,322.5642693,6.045289802,0.847194606,162.6634278,651912.6869,1.492332639,,,,,,,,,,,,,,,,,,
10,33.39402058,222308.6672,235281.5639,0.32756605,3.101807556,51.19952968,322.5642693,6.045289802,0.931914067,271.105713,651912.6869,1.616693693,,,,,,,,,,,,,,,,,,
