,cluster1,cluster2,distance,members
0,17.0,22.0,0.0,2.0
1,2.0,30.0,1.7320508075688772,3.0
2,6.0,18.0,21.2602916254693,2.0
3,19.0,32.0,32.32645975048923,3.0
4,3.0,9.0,33.58571124749333,2.0
5,0.0,28.0,40.39801975344831,2.0
6,16.0,35.0,50.21951811795888,3.0
7,24.0,25.0,63.58458932791813,2.0
8,33.0,34.0,79.33473388119481,5.0
9,29.0,31.0,79.94998436522674,4.0
10,36.0,37.0,116.26693425045661,5.0
11,38.0,39.0,159.38318606427717,9.0
12,40.0,41.0,204.8023437365891,14.0
13,20.0,27.0,279.21497094532737,2.0
14,23.0,26.0,279.4762959536998,2.0
15,1.0,8.0,312.2963336320169,2.0
16,5.0,15.0,436.4401448079679,2.0
17,7.0,44.0,444.9325791622816,3.0
18,42.0,43.0,454.5998240210834,16.0
19,13.0,46.0,736.3701514863296,3.0
20,47.0,49.0,1120.5150601397556,6.0
21,48.0,50.0,1662.5432325205861,22.0
22,45.0,51.0,2615.124662420513,24.0
23,14.0,21.0,4033.0146292816744,2.0
24,11.0,53.0,8670.312047440968,3.0
25,52.0,54.0,17593.55802559562,27.0
26,12.0,55.0,37524.15623301875,28.0
27,10.0,56.0,135459.52205363786,29.0
28,4.0,57.0,373323.00307240646,30.0
