,cluster1,cluster2,distance,members
0,26.0,27.0,581.7748705470184,2.0
1,22.0,23.0,671.1326247471509,2.0
2,29.0,30.0,1129.6171917955214,3.0
3,25.0,28.0,1549.9693545357597,2.0
4,24.0,32.0,1557.4097084582463,4.0
5,21.0,34.0,2151.1606169693605,5.0
6,18.0,20.0,2231.9572128515365,2.0
7,31.0,33.0,2534.870410888888,4.0
8,19.0,36.0,3600.6309169366414,3.0
9,15.0,17.0,3716.0936479050147,2.0
10,10.0,11.0,4076.6320658111886,2.0
11,35.0,37.0,4155.139829175428,9.0
12,12.0,14.0,4723.955969312161,2.0
13,38.0,39.0,7980.88835907382,5.0
14,13.0,42.0,10356.07570462866,3.0
15,41.0,43.0,13209.404679999776,14.0
16,8.0,40.0,14528.896861083433,3.0
17,44.0,46.0,22725.353044562366,6.0
18,9.0,47.0,33689.467953649844,7.0
19,16.0,48.0,42669.27730815229,8.0
20,45.0,49.0,49287.85212402748,22.0
21,4.0,6.0,49323.0361899995,2.0
22,1.0,3.0,73613.59745318795,2.0
23,7.0,50.0,79992.74374591735,23.0
24,2.0,52.0,146021.05477293333,3.0
25,51.0,53.0,169039.8450011121,25.0
26,54.0,55.0,365425.40274315904,28.0
27,5.0,56.0,578063.6734997279,29.0
28,0.0,57.0,625955.6303405218,30.0
